0.5 0.5 0.5 0.5
dimly 0.250 0.750 0.250 0.750
tip 0.609 0.391 0.261 0.739
topped 0.750 0.250 0.750 0.250
reality 0.200 0.800 0.200 0.800
power 0.750 0.250 0.500 0.500
ny 0.600 0.400 0.600 0.400
setting 0.429 0.571 0.214 0.786
holding 0.400 0.600 0.200 0.800
soundly 0.500 0.500 0.750 0.250
test 0.200 0.800 0.800 0.200
orchid 0.750 0.250 0.500 0.500
nt 0.800 0.200 0.600 0.400
company 0.516 0.484 0.387 0.613
nw 0.750 0.250 0.250 0.750
scored 0.750 0.250 0.750 0.250
picture 0.647 0.353 0.412 0.588
choosing 0.444 0.556 0.556 0.444
reconsider 0.200 0.800 0.200 0.800
grander 0.250 0.750 0.500 0.500
welcome 0.519 0.481 0.519 0.481
polite 0.483 0.517 0.759 0.241
flushed 0.400 0.600 0.200 0.800
scratchy 0.167 0.833 0.333 0.667
younger 0.625 0.375 0.375 0.625
longer 0.517 0.483 0.379 0.621
excuse 0.778 0.222 0.333 0.667
together 0.533 0.467 0.333 0.667
reception 0.684 0.316 0.456 0.544
serious 0.286 0.714 0.143 0.857
basically 0.588 0.412 0.294 0.706
neighbors 0.357 0.643 0.143 0.857
concept 0.600 0.400 0.400 0.600
remarkable 0.600 0.400 0.800 0.200
switched 0.571 0.429 0.143 0.857
dance 0.750 0.250 0.250 0.750
rudeness 0.375 0.625 0.125 0.875
alternatives 0.750 0.250 0.250 0.750
focus 0.250 0.750 0.250 0.750
delays 0.667 0.333 0.333 0.667
comments 0.750 0.250 0.375 0.625
supposedly 0.231 0.769 0.154 0.846
cocktails 0.667 0.333 0.500 0.500
zone 0.833 0.167 0.333 0.667
honoring 0.500 0.500 0.250 0.750
environment 0.300 0.700 0.400 0.600
charge 0.737 0.263 0.158 0.842
compensate 0.500 0.500 0.100 0.900
dissatisfied 0.143 0.857 0.143 0.857
agreed 0.500 0.500 0.083 0.917
protestors 0.750 0.250 0.250 0.750
brown 0.571 0.429 0.286 0.714
indoor 0.130 0.870 0.739 0.261
advantage 0.235 0.765 0.765 0.235
grill 0.500 0.500 0.833 0.167
keeping 0.273 0.727 0.364 0.636
seemingly 0.286 0.714 0.429 0.571
vegas 0.500 0.500 0.500 0.500
artwork 0.429 0.571 0.429 0.571
cook 0.250 0.750 0.500 0.500
trouble 0.333 0.667 0.286 0.714
cool 0.674 0.326 0.543 0.457
impressive 0.417 0.583 0.667 0.333
level 0.561 0.439 0.439 0.561
turns 0.300 0.700 0.100 0.900
jamie 0.250 0.750 0.750 0.250
posts 0.750 0.250 0.500 0.500
brother 0.875 0.125 0.250 0.750
gum 0.375 0.625 0.125 0.875
standards 0.429 0.571 0.500 0.500
p 0.769 0.231 0.538 0.462
soooo 0.800 0.200 0.200 0.800
science 0.500 0.500 0.750 0.250
quick 0.370 0.630 0.652 0.348
guy 0.609 0.391 0.217 0.783
added 0.650 0.350 0.700 0.300
upper 0.750 0.250 0.250 0.750
says 0.300 0.700 0.400 0.600
regret 0.250 0.750 0.625 0.375
jaymes 0.750 0.250 0.750 0.250
discover 0.667 0.333 0.083 0.917
professionalism 0.250 0.750 0.250 0.750
slowed 0.500 0.500 0.250 0.750
cost 0.636 0.364 0.291 0.709
voucher 0.286 0.714 0.286 0.714
comforting 0.167 0.833 0.833 0.167
ottoman 0.750 0.250 0.250 0.750
irritated 0.200 0.800 0.200 0.800
boats 0.250 0.750 0.250 0.750
stressful 0.500 0.500 0.250 0.750
stately 0.600 0.400 0.400 0.600
assistance 0.333 0.667 0.333 0.667
remain 0.750 0.250 0.500 0.500
uniform 0.250 0.750 0.250 0.750
goes 0.625 0.375 0.562 0.438
supplies 0.500 0.500 0.500 0.500
beautifull 0.250 0.750 0.750 0.250
hairs 0.333 0.667 0.111 0.889
knocked 0.500 0.500 0.333 0.667
entertain 0.250 0.750 0.750 0.250
groups 0.600 0.400 0.400 0.600
goldfish 0.714 0.286 0.714 0.286
dissipated 0.500 0.500 0.250 0.750
appears 0.375 0.625 0.125 0.875
change 0.571 0.429 0.167 0.833
buck 0.333 0.667 0.500 0.500
thirty 0.400 0.600 0.400 0.600
snubbed 0.250 0.750 0.250 0.750
earned 0.333 0.667 0.167 0.833
jaw 0.250 0.750 0.750 0.250
usually 0.500 0.500 0.400 0.600
hospitality 0.538 0.462 0.308 0.692
weird 0.571 0.429 0.286 0.714
pillow 0.259 0.741 0.407 0.593
regardless 0.750 0.250 0.375 0.625
extra 0.471 0.529 0.365 0.635
marked 0.600 0.400 0.400 0.600
gouging 0.750 0.250 0.250 0.750
sincerely 0.200 0.800 0.600 0.400
rarely 0.500 0.500 0.500 0.500
market 0.500 0.500 0.500 0.500
handled 0.250 0.750 0.500 0.500
sports 0.250 0.750 0.500 0.500
live 0.500 0.500 0.423 0.577
wonderfully 0.500 0.500 0.625 0.375
iphone 0.600 0.400 0.400 0.600
memory 0.143 0.857 0.429 0.571
today 0.909 0.091 0.091 0.909
dismay 0.250 0.750 0.250 0.750
entrance 0.652 0.348 0.522 0.478
club 0.676 0.324 0.595 0.405
neglected 0.600 0.400 0.200 0.800
clue 0.500 0.500 0.500 0.500
hesitated 0.500 0.500 0.250 0.750
cases 0.667 0.333 0.167 0.833
decked 0.500 0.500 0.500 0.500
car 0.690 0.310 0.282 0.718
cap 0.500 0.500 0.333 0.667
districts 0.250 0.750 0.750 0.250
judy 0.750 0.250 0.500 0.500
hyatts 0.750 0.250 0.500 0.500
cam 0.167 0.833 0.833 0.167
cab 0.857 0.143 0.405 0.595
chapter 0.750 0.250 0.250 0.750
heart 0.294 0.706 0.676 0.324
dedicated 0.500 0.500 0.750 0.250
trump 0.833 0.167 0.333 0.667
figure 0.688 0.312 0.188 0.812
december 0.727 0.273 0.364 0.636
concierge 0.683 0.317 0.596 0.404
heard 0.652 0.348 0.239 0.761
dropped 0.333 0.667 0.333 0.667
spa 0.206 0.794 0.676 0.324
cardio 0.375 0.625 0.500 0.500
spg 0.750 0.250 0.250 0.750
disliked 0.750 0.250 0.250 0.750
fortunately 0.429 0.571 0.429 0.571
means 0.375 0.625 0.500 0.500
advertized 0.750 0.250 0.750 0.250
lounge 0.467 0.533 0.667 0.333
beat 0.619 0.381 0.571 0.429
fourth 0.750 0.250 0.250 0.750
ensure 0.500 0.500 0.500 0.500
$100 0.867 0.133 0.400 0.600
unbelievable 0.600 0.400 0.600 0.400
ballroom 0.167 0.833 0.833 0.167
huge 0.592 0.408 0.648 0.352
disgusted 0.750 0.250 0.250 0.750
4th 0.750 0.250 0.500 0.500
tipped 0.400 0.600 0.400 0.600
renovation 0.833 0.167 0.278 0.722
muggy 0.400 0.600 0.200 0.800
drained 0.800 0.200 0.200 0.800
mgr 0.750 0.250 0.500 0.500
whenever 0.200 0.800 0.700 0.300
candles 0.333 0.667 0.500 0.500
inform 0.600 0.400 0.400 0.600
typical 0.500 0.500 0.500 0.500
refund 0.353 0.647 0.059 0.941
exclusive 0.600 0.400 0.400 0.600
comfort 0.333 0.667 0.667 0.333
furnished 0.407 0.593 0.667 0.333
indeed 0.500 0.500 0.400 0.600
midnight 0.462 0.538 0.154 0.846
ended 0.444 0.556 0.178 0.822
cold 0.417 0.583 0.083 0.917
still 0.649 0.351 0.252 0.748
earplugs 0.500 0.500 0.250 0.750
rooftop 0.667 0.333 0.444 0.556
acknowledge 0.429 0.571 0.143 0.857
appetizers 0.615 0.385 0.538 0.462
forms 0.500 0.500 0.250 0.750
window 0.673 0.327 0.306 0.694
offers 0.400 0.600 0.680 0.320
spacious 0.553 0.447 0.883 0.117
meridian 0.800 0.200 0.200 0.800
unaccommodating 0.250 0.750 0.250 0.750
happened 0.741 0.259 0.074 0.926
non 0.551 0.449 0.061 0.939
conversations 0.600 0.400 0.200 0.800
nob 0.250 0.750 0.500 0.500
underneath 0.200 0.800 0.200 0.800
unimpressive 0.600 0.400 0.400 0.600
half 0.490 0.510 0.176 0.824
now 0.652 0.348 0.333 0.667
hall 0.636 0.364 0.273 0.727
nor 0.594 0.406 0.094 0.906
wont 0.625 0.375 0.625 0.375
theaters 0.750 0.250 0.500 0.500
name 0.442 0.558 0.349 0.651
january 0.875 0.125 0.500 0.500
drop 0.667 0.333 0.500 0.500
outrageously 0.250 0.750 0.250 0.750
butter 0.400 0.600 0.800 0.200
entirely 0.200 0.800 0.400 0.600
el 0.917 0.083 0.750 0.250
significantly 0.500 0.500 0.375 0.625
yeah 0.583 0.417 0.250 0.750
year 0.682 0.318 0.379 0.621
ft 0.500 0.500 0.667 0.333
happen 0.667 0.333 0.333 0.667
avoided 0.571 0.429 0.286 0.714
plans 0.333 0.667 0.667 0.333
shown 0.125 0.875 0.250 0.750
opened 0.593 0.407 0.296 0.704
space 0.649 0.351 0.351 0.649
herself 0.800 0.200 0.200 0.800
furthermore 0.500 0.500 0.250 0.750
factory 0.857 0.143 0.857 0.143
someplace 0.700 0.300 0.200 0.800
attracted 0.400 0.600 0.400 0.600
navigating 0.250 0.750 0.250 0.750
receiving 0.333 0.667 0.333 0.667
shows 0.455 0.545 0.545 0.455
attended 0.714 0.286 0.429 0.571
annoyance 0.400 0.600 0.200 0.800
cars 0.500 0.500 0.250 0.750
cart 0.444 0.556 0.333 0.667
aria 0.750 0.250 0.750 0.250
oasis 0.750 0.250 0.500 0.500
accommodation 0.750 0.250 0.750 0.250
card 0.667 0.333 0.067 0.933
care 0.532 0.468 0.383 0.617
fixed 0.421 0.579 0.263 0.737
couldn 0.376 0.624 0.441 0.559
selections 0.200 0.800 0.600 0.400
yup 0.500 0.500 0.250 0.750
british 0.250 0.750 0.250 0.750
replacement 0.556 0.444 0.111 0.889
styles 0.250 0.750 0.750 0.250
turd 0.250 0.750 0.250 0.750
suffice 0.500 0.500 0.333 0.667
flying 0.500 0.500 0.375 0.625
striking 0.750 0.250 0.750 0.250
yourself 0.533 0.467 0.133 0.867
directly 0.880 0.120 0.360 0.640
impossible 0.643 0.357 0.143 0.857
message 0.667 0.333 0.333 0.667
drove 0.714 0.286 0.429 0.571
size 0.565 0.435 0.447 0.553
rented 0.333 0.667 0.333 0.667
given 0.457 0.543 0.210 0.790
necessarily 0.500 0.500 0.250 0.750
district 0.429 0.571 0.714 0.286
caught 0.667 0.333 0.500 0.500
plastic 0.625 0.375 0.250 0.750
cooling 0.800 0.200 0.200 0.800
sofitel 0.406 0.594 0.531 0.469
white 0.640 0.360 0.160 0.840
sheek 0.750 0.250 0.250 0.750
friend 0.429 0.571 0.514 0.486
gives 0.455 0.545 0.636 0.364
exploring 0.444 0.556 0.667 0.333
mostly 0.556 0.444 0.667 0.333
season 0.800 0.200 0.400 0.600
alas 0.500 0.500 0.500 0.500
eliminated 0.750 0.250 0.250 0.750
flowers 0.818 0.182 0.727 0.273
chintzy 0.750 0.250 0.250 0.750
$14 0.444 0.556 0.444 0.556
$15 0.833 0.167 0.333 0.667
television 0.143 0.857 0.333 0.667
$10 0.562 0.438 0.250 0.750
unfortunately 0.500 0.500 0.115 0.885
$12 0.750 0.250 0.250 0.750
transferred 0.889 0.111 0.444 0.556
receptionists 0.500 0.500 0.667 0.333
coat 0.600 0.400 0.200 0.800
cards 0.400 0.600 0.333 0.667
poisoning 0.500 0.500 0.250 0.750
dissapointed 0.375 0.625 0.250 0.750
pre 0.727 0.273 0.455 0.545
register 0.833 0.167 0.500 0.500
remained 0.250 0.750 0.250 0.750
premier 0.200 0.800 0.200 0.800
slap 0.750 0.250 0.250 0.750
bugs 0.526 0.474 0.211 0.789
13th 0.400 0.600 0.200 0.800
slam 0.800 0.200 0.200 0.800
rent 0.500 0.500 0.375 0.625
marathon 0.667 0.333 0.333 0.667
upholstered 0.250 0.750 0.500 0.500
lumpy 0.500 0.500 0.167 0.833
offering 0.333 0.667 0.333 0.667
ideas 0.500 0.500 0.250 0.750
terrific 0.562 0.438 0.812 0.188
dining 0.305 0.695 0.661 0.339
ideal 0.455 0.545 0.636 0.364
online 0.385 0.615 0.212 0.788
begin 0.417 0.583 0.167 0.833
sure 0.535 0.465 0.488 0.512
multiple 0.529 0.471 0.294 0.706
falls 0.429 0.571 0.143 0.857
visitors 0.600 0.400 0.600 0.400
wire 0.800 0.200 0.200 0.800
importantly 0.667 0.333 0.778 0.222
stormed 0.250 0.750 0.250 0.750
america 0.400 0.600 0.600 0.400
] 0.800 0.200 0.200 0.800
michelle 0.800 0.200 0.200 0.800
forever 0.263 0.737 0.158 0.842
buckingham 0.750 0.250 0.750 0.250
considered 0.455 0.545 0.273 0.727
egg 0.750 0.250 0.750 0.250
seafood 0.333 0.667 0.833 0.167
later 0.566 0.434 0.118 0.882
steady 0.250 0.750 0.250 0.750
hungry 0.333 0.667 0.444 0.556
mrs 0.500 0.500 0.500 0.500
wacker 0.800 0.200 0.200 0.800
professional 0.452 0.548 0.806 0.194
cracks 0.750 0.250 0.250 0.750
typically 0.400 0.600 0.400 0.600
homewood 0.311 0.689 0.511 0.489
uninterested 0.500 0.500 0.250 0.750
replied 0.500 0.500 0.167 0.833
fifty 0.500 0.500 0.250 0.750
talbot 0.500 0.500 0.200 0.800
spaces 0.500 0.500 0.500 0.500
superb 0.556 0.444 0.852 0.148
fifth 0.500 0.500 0.250 0.750
realizing 0.500 0.500 0.250 0.750
upgrade 0.698 0.302 0.372 0.628
stair 0.500 0.500 0.500 0.500
abassador 0.250 0.750 0.250 0.750
stained 0.429 0.571 0.143 0.857
state 0.609 0.391 0.522 0.478
wood 0.364 0.636 0.545 0.455
stain 0.429 0.571 0.071 0.929
retrieving 0.750 0.250 0.500 0.500
centrally 0.667 0.333 0.750 0.250
televisions 0.200 0.800 0.600 0.400
closed 0.654 0.346 0.269 0.731
jazz 0.600 0.400 0.600 0.400
cannot 0.542 0.458 0.417 0.583
clerks 0.375 0.625 0.500 0.500
neither 0.692 0.308 0.077 0.923
celebrate 0.167 0.833 0.417 0.583
attentiveness 0.400 0.600 0.800 0.200
outraged 0.250 0.750 0.250 0.750
leather 0.500 0.500 0.500 0.500
impolite 0.400 0.600 0.200 0.800
kickbacks 0.750 0.250 0.500 0.500
scott 0.500 0.500 0.500 0.500
drawback 0.750 0.250 0.500 0.500
ignored 0.545 0.455 0.091 0.909
concert 0.571 0.429 0.286 0.714
physically 0.857 0.143 0.143 0.857
connections 0.500 0.500 0.500 0.500
elected 0.333 0.667 0.167 0.833
asleep 0.125 0.875 0.750 0.250
parking 0.679 0.321 0.387 0.613
apologies 0.222 0.778 0.111 0.889
york 0.444 0.556 0.333 0.667
#1 0.750 0.250 0.500 0.500
concern 0.615 0.385 0.538 0.462
bedside 0.800 0.200 0.600 0.400
staffed 0.600 0.400 0.400 0.600
managing 0.500 0.500 0.750 0.250
review 0.704 0.296 0.333 0.667
bloomingdales 0.714 0.286 0.571 0.429
definite 0.143 0.857 0.286 0.714
outside 0.537 0.463 0.313 0.687
woudl 0.500 0.500 0.250 0.750
nicest 0.364 0.636 0.636 0.364
arrival 0.564 0.436 0.436 0.564
24 0.438 0.562 0.500 0.500
notice 0.429 0.571 0.357 0.643
messed 0.625 0.375 0.125 0.875
comp 0.333 0.667 0.167 0.833
filter 0.333 0.667 0.167 0.833
erica 0.833 0.167 0.167 0.833
guitar 0.400 0.600 0.600 0.400
cities 0.750 0.250 0.667 0.333
come 0.423 0.577 0.402 0.598
amalfi 0.438 0.562 0.516 0.484
quiet 0.800 0.200 0.662 0.338
contract 0.750 0.250 0.250 0.750
reluctantly 0.625 0.375 0.125 0.875
comes 0.476 0.524 0.381 0.619
nearby 0.543 0.457 0.457 0.543
duty 0.538 0.462 0.231 0.769
afterwards 0.333 0.667 0.667 0.333
pot 0.571 0.429 0.143 0.857
jeans 0.667 0.333 0.333 0.667
period 0.400 0.600 0.300 0.700
insist 0.750 0.250 0.250 0.750
60 0.750 0.250 0.250 0.750
65 0.833 0.167 0.167 0.833
proved 0.500 0.500 0.667 0.333
actually 0.466 0.534 0.260 0.740
coffeemaker 0.714 0.286 0.429 0.571
save 0.526 0.474 0.263 0.737
cares 0.250 0.750 0.500 0.500
classic 0.600 0.400 0.600 0.400
informed 0.385 0.615 0.115 0.885
cared 0.857 0.143 0.429 0.571
peaceful 0.286 0.714 0.571 0.429
hardly 0.308 0.692 0.538 0.462
direction 0.600 0.400 0.400 0.600
plugged 0.500 0.500 0.250 0.750
andrew 0.750 0.250 0.500 0.500
figured 0.385 0.615 0.308 0.692
attentive 0.667 0.333 0.833 0.167
paying 0.486 0.514 0.162 0.838
myself 0.361 0.639 0.417 0.583
these 0.584 0.416 0.247 0.753
accommodating 0.500 0.500 0.700 0.300
cash 0.625 0.375 0.125 0.875
handicapped 0.833 0.167 0.333 0.667
cast 0.750 0.250 0.250 0.750
deceptively 0.750 0.250 0.250 0.750
slippery 0.500 0.500 0.250 0.750
scum 0.667 0.333 0.167 0.833
shops 0.714 0.286 0.857 0.143
coolest 0.400 0.600 0.600 0.400
unsatisfactory 0.400 0.600 0.200 0.800
couples 0.500 0.500 0.500 0.500
canceled 0.625 0.375 0.250 0.750
someone 0.484 0.516 0.054 0.946
accounting 0.750 0.250 0.250 0.750
return 0.506 0.494 0.575 0.425
absurd 0.750 0.250 0.500 0.500
mediocre 0.417 0.583 0.125 0.875
worry 0.250 0.750 0.750 0.250
breathtakingly 0.250 0.750 0.750 0.250
etc 0.814 0.186 0.492 0.508
$21 0.750 0.250 0.250 0.750
$20 0.500 0.500 0.188 0.812
granted 0.308 0.692 0.308 0.692
$25 0.875 0.125 0.250 0.750
$24 0.857 0.143 0.571 0.429
gentlemen 0.500 0.500 0.750 0.250
lite 0.500 0.500 0.500 0.500
bellboy 0.333 0.667 0.333 0.667
reminder 0.250 0.750 0.250 0.750
events 0.556 0.444 0.667 0.333
week 0.590 0.410 0.422 0.578
finish 0.625 0.375 0.500 0.500
closest 0.500 0.500 0.250 0.750
enjoyment 0.750 0.250 0.500 0.500
foam 0.400 0.600 0.600 0.400
driver 0.375 0.625 0.250 0.750
require 0.750 0.250 0.500 0.500
muffled 0.250 0.750 0.500 0.500
persons 0.500 0.500 0.500 0.500
fruit 0.727 0.273 0.818 0.182
changing 0.375 0.625 0.125 0.875
complained 0.308 0.692 0.077 0.923
eucalyptus 0.250 0.750 0.750 0.250
westin 0.900 0.100 0.300 0.700
theater 0.769 0.231 0.846 0.154
charges 0.690 0.310 0.172 0.828
32nd 0.750 0.250 0.750 0.250
severe 0.400 0.600 0.400 0.600
without 0.636 0.364 0.394 0.606
relief 0.500 0.500 0.500 0.500
coordinate 0.250 0.750 0.750 0.250
vomit 0.167 0.833 0.167 0.833
justify 0.750 0.250 0.250 0.750
taxi 0.520 0.480 0.560 0.440
generally 0.818 0.182 0.273 0.727
lavish 0.250 0.750 0.500 0.500
towering 0.750 0.250 0.500 0.500
touch 0.704 0.296 0.741 0.259
speed 0.320 0.680 0.560 0.440
blow 0.750 0.250 0.250 0.750
til 0.500 0.500 0.500 0.500
tim 0.667 0.333 0.667 0.333
thinking 0.500 0.500 0.286 0.714
rose 0.200 0.800 0.800 0.200
seems 0.362 0.638 0.170 0.830
reccomend 0.429 0.571 0.714 0.286
improvement 0.750 0.250 0.500 0.500
lets 0.500 0.500 0.600 0.400
interested 0.400 0.600 0.700 0.300
treatment 0.417 0.583 0.333 0.667
real 0.484 0.516 0.452 0.548
carpeting 0.200 0.800 0.200 0.800
spectacular 0.389 0.611 0.778 0.222
easily 0.538 0.462 0.615 0.385
read 0.743 0.257 0.371 0.629
papers 0.600 0.400 0.200 0.800
fridge 0.913 0.087 0.348 0.652
early 0.614 0.386 0.439 0.561
using 0.516 0.484 0.258 0.742
accepted 0.222 0.778 0.333 0.667
lady 0.448 0.552 0.207 0.793
furniture 0.520 0.480 0.340 0.660
towel 0.500 0.500 0.300 0.700
greeting 0.625 0.375 0.625 0.375
miracle 0.500 0.500 0.500 0.500
oddly 0.800 0.200 0.400 0.600
benefit 0.600 0.400 0.400 0.600
fully 0.222 0.778 0.556 0.444
reduced 0.667 0.333 0.333 0.667
overbooked 0.600 0.400 0.200 0.800
apartments 0.500 0.500 0.750 0.250
respect 0.308 0.692 0.385 0.615
duration 0.571 0.429 0.286 0.714
daytime 0.500 0.500 0.250 0.750
provided 0.532 0.468 0.574 0.426
slice 0.750 0.250 0.250 0.750
mood 0.333 0.667 0.333 0.667
stops 0.818 0.182 0.273 0.727
rooming 0.500 0.500 0.500 0.500
provides 0.455 0.545 0.727 0.273
hustle 0.200 0.800 0.800 0.200
asap 0.750 0.250 0.250 0.750
sixth 0.750 0.250 0.250 0.750
chefs 0.250 0.750 0.500 0.500
inspect 0.667 0.333 0.333 0.667
update 0.714 0.286 0.143 0.857
credits 0.833 0.167 0.167 0.833
exciting 0.222 0.778 0.444 0.556
softiel 0.250 0.750 0.250 0.750
throw 0.545 0.455 0.182 0.818
comparison 0.714 0.286 0.429 0.571
central 0.667 0.333 0.600 0.400
oh 0.686 0.314 0.257 0.743
chop 0.400 0.600 0.800 0.200
stand 0.583 0.417 0.250 0.750
basil 0.750 0.250 0.750 0.250
heater 0.200 0.800 0.600 0.400
ladies 0.600 0.400 0.400 0.600
communication 0.600 0.400 0.400 0.600
bellhops 0.750 0.250 0.250 0.750
lakeview 0.500 0.500 0.500 0.500
accounts 0.500 0.500 0.500 0.500
operator 0.833 0.167 0.500 0.500
lastly 0.429 0.571 0.429 0.571
knickerbocker 0.391 0.609 0.507 0.493
upstairs 0.700 0.300 0.200 0.800
stare 0.750 0.250 0.250 0.750
forwarded 0.750 0.250 0.250 0.750
prepare 0.286 0.714 0.429 0.571
aren 0.500 0.500 0.125 0.875
assumed 0.429 0.571 0.143 0.857
stark 0.857 0.143 0.143 0.857
low 0.750 0.250 0.208 0.792
stars 0.333 0.667 0.500 0.500
energy 0.500 0.500 0.500 0.500
immaculate 0.308 0.692 0.846 0.154
allergic 0.200 0.800 0.200 0.800
tranquility 0.333 0.667 0.833 0.167
delayed 0.188 0.812 0.125 0.875
amongst 0.500 0.500 0.750 0.250
cabinet 0.875 0.125 0.375 0.625
omelet 0.500 0.500 0.750 0.250
upbeat 0.500 0.500 0.750 0.250
faster 0.400 0.600 0.200 0.800
bucket 0.750 0.250 0.500 0.500
nightlife 0.625 0.375 0.625 0.375
tones 0.250 0.750 0.750 0.250
strongly 0.462 0.538 0.462 0.538
toilet 0.625 0.375 0.071 0.929
cinema 0.750 0.250 0.750 0.250
taste 0.333 0.667 0.611 0.389
describe 0.429 0.571 0.571 0.429
moved 0.471 0.529 0.206 0.794
sales 0.714 0.286 0.429 0.571
tasty 0.556 0.444 0.444 0.556
nickel 0.333 0.667 0.333 0.667
showerhead 0.667 0.333 0.500 0.500
incorrect 0.875 0.125 0.250 0.750
unwelcome 0.500 0.500 0.250 0.750
deserve 0.500 0.500 0.250 0.750
storage 0.833 0.167 0.500 0.500
intercontinental 0.422 0.578 0.594 0.406
5 0.619 0.381 0.448 0.552
evenings 0.250 0.750 0.750 0.250
forcing 0.500 0.500 0.250 0.750
poor 0.462 0.538 0.038 0.962
requested 0.560 0.440 0.167 0.833
pillows 0.556 0.444 0.492 0.508
separate 0.826 0.174 0.609 0.391
drift 0.250 0.750 0.750 0.250
includes 0.556 0.444 0.444 0.556
track 0.556 0.444 0.333 0.667
suited 0.600 0.400 0.600 0.400
included 0.550 0.450 0.475 0.525
redecorating 0.750 0.250 0.500 0.500
restraunt 0.500 0.500 0.500 0.500
pool 0.513 0.487 0.487 0.513
unresponsive 0.600 0.400 0.200 0.800
building 0.709 0.291 0.418 0.582
calls 0.464 0.536 0.036 0.964
$35 0.857 0.143 0.571 0.429
malfunctioning 0.600 0.400 0.200 0.800
$30 0.667 0.333 0.556 0.444
drank 0.750 0.250 0.750 0.250
robert 0.750 0.250 0.250 0.750
since 0.540 0.460 0.370 0.630
kimpton 0.714 0.286 0.393 0.607
chinese 0.833 0.167 0.500 0.500
bfast 0.750 0.250 0.750 0.250
lack 0.688 0.312 0.125 0.875
month 0.364 0.636 0.364 0.636
thoughtful 0.500 0.500 0.750 0.250
deadline 0.500 0.500 0.250 0.750
mp3 0.250 0.750 0.250 0.750
dish 0.500 0.500 0.750 0.250
follow 0.750 0.250 0.250 0.750
carpet 0.465 0.535 0.093 0.907
dreadful 0.333 0.667 0.167 0.833
apartment 0.455 0.545 0.727 0.273
referring 0.750 0.250 0.500 0.500
vs 0.500 0.500 0.750 0.250
sparkling 0.400 0.600 0.600 0.400
program 0.765 0.235 0.588 0.412
reviewers 0.833 0.167 0.500 0.500
fountain 0.667 0.333 0.833 0.167
presentation 0.667 0.333 0.167 0.833
washroom 0.750 0.250 0.500 0.500
activities 0.500 0.500 0.714 0.286
woman 0.433 0.567 0.133 0.867
worse 0.478 0.522 0.043 0.957
robes 0.692 0.308 0.923 0.077
ouch 0.800 0.200 0.600 0.400
wondeful 0.750 0.250 0.250 0.750
sons 0.500 0.500 0.250 0.750
worst 0.373 0.627 0.017 0.983
minded 0.500 0.500 0.250 0.750
decide 0.273 0.727 0.455 0.545
awful 0.385 0.615 0.077 0.923
ticket 0.556 0.444 0.222 0.778
enter 0.400 0.600 0.300 0.700
treating 0.250 0.750 0.500 0.500
heaven 0.125 0.875 0.875 0.125
remodeling 0.500 0.500 0.250 0.750
list 0.364 0.636 0.409 0.591
manager 0.694 0.306 0.059 0.941
steakhouse 0.182 0.818 0.909 0.091
throbbing 0.200 0.800 0.200 0.800
blackout 0.750 0.250 0.500 0.500
ten 0.474 0.526 0.368 0.632
tea 0.611 0.389 0.611 0.389
streets 0.750 0.250 0.500 0.500
unheard 0.250 0.750 0.250 0.750
rate 0.785 0.215 0.538 0.462
design 0.480 0.520 0.600 0.400
nbc 0.800 0.200 0.600 0.400
functioning 0.600 0.400 0.200 0.800
casual 0.200 0.800 0.200 0.800
cheeses 0.800 0.200 0.600 0.400
hesitation 0.800 0.200 0.800 0.200
sub 0.267 0.733 0.067 0.933
witnessed 0.500 0.500 0.250 0.750
sun 0.800 0.200 0.600 0.400
musty 0.154 0.846 0.077 0.923
milk 0.714 0.286 0.571 0.429
suv 0.500 0.500 0.500 0.500
apologized 0.273 0.727 0.091 0.909
learned 0.500 0.500 0.200 0.800
unprofessional 0.364 0.636 0.091 0.909
loose 0.750 0.250 0.250 0.750
certainly 0.351 0.649 0.405 0.595
answers 0.600 0.400 0.200 0.800
shouldn 0.273 0.727 0.182 0.818
relaxation 0.200 0.800 0.800 0.200
directions 0.588 0.412 0.647 0.353
occupant 0.250 0.750 0.250 0.750
ultra 0.500 0.500 0.750 0.250
ahead 0.533 0.467 0.333 0.667
thursday 0.600 0.400 0.600 0.400
allows 0.429 0.571 0.571 0.429
reason 0.577 0.423 0.269 0.731
creepy 0.600 0.400 0.600 0.400
drawers 0.778 0.222 0.111 0.889
amount 0.345 0.655 0.172 0.828
advertising 0.333 0.667 0.167 0.833
exited 0.800 0.200 0.200 0.800
headache 0.400 0.600 0.200 0.800
approched 0.250 0.750 0.250 0.750
shuffle 0.400 0.600 0.800 0.200
thankfully 0.500 0.500 0.250 0.750
suddenly 0.750 0.250 0.250 0.750
glitch 0.500 0.500 0.500 0.500
trained 0.833 0.167 0.333 0.667
toys 0.500 0.500 0.750 0.250
takes 0.417 0.583 0.500 0.500
0 0.600 0.400 0.200 0.800
faint 0.143 0.857 0.143 0.857
almost 0.514 0.486 0.229 0.771
mysterious 0.400 0.600 0.200 0.800
minor 0.588 0.412 0.529 0.471
chestnut 0.400 0.600 0.200 0.800
flat 0.489 0.511 0.830 0.170
yuck 0.500 0.500 0.250 0.750
faucet 0.600 0.400 0.200 0.800
surprisingly 0.200 0.800 0.400 0.600
terror 0.250 0.750 0.250 0.750
stick 0.500 0.500 0.500 0.500
broke 0.500 0.500 0.333 0.667
known 0.167 0.833 0.500 0.500
